Official Name State,Official Name Suburb,latitude,longitude
Queensland,Kilcoy,-26.94219393,152.562095
Queensland,Kinleymore,-26.17985485,151.6510286
Queensland,Kowanyama,-15.31952524,141.8105733
Queensland,Kuluin,-26.657729,153.0561142
Queensland,Lake Macdonald,-26.39151682,152.9369415
Queensland,Langlands,-26.69399917,150.9872011
Queensland,Langshaw,-26.29719011,152.5817302
Queensland,Lannercost,-18.60846559,145.9622327
Queensland,Laravale,-28.08973296,152.9362235
Queensland,Lilyvale (Central Highlands - Qld),-23.15116145,148.4370806
Queensland,Logan Village,-27.78498174,153.1159713
Queensland,Mackenzie (Central Highlands - Qld),-23.12798362,149.3922866
Queensland,Miami,-28.06813846,153.435795
Queensland,Middle Ridge,-27.60708407,151.9669019
Queensland,Midgee (Qld),-23.49937344,150.5780103
Queensland,Milton (Qld),-27.46819643,153.0048761
Queensland,Mount Coolum,-26.56652836,153.083066
Queensland,Mount Debateable,-25.63275566,151.5567158
Queensland,Mount Hutton (Qld),-25.91019223,148.3423143
Queensland,Mount Maria,-24.52997639,151.8273178
Queensland,Mountain Camp,-27.20469868,152.0378487
Queensland,Murray,-19.33267587,146.7932697
Queensland,Mysterton,-19.28712061,146.793617
Queensland,Newstead (Qld),-27.44820392,153.0439401
Queensland,North Maclean,-27.76705917,152.9966237
Queensland,Old Talgai,-28.02232739,151.7246833
Queensland,Pallara,-27.62001223,153.0066597
Queensland,Pialba,-25.28038968,152.8310985
Queensland,Qunaba,-24.82984361,152.4271876
Queensland,Reids Creek,-25.52342768,151.5363408
Queensland,River Ranch,-23.97652177,151.1560124
Queensland,Rywung,-26.71965997,150.4825078
Queensland,Shelburne,-12.04375876,142.8241373
Queensland,Shute Harbour,-20.28894978,148.7867173
Queensland,Sommariva,-26.40921015,146.6972432
Queensland,Southport (Qld),-27.97367468,153.4004487
Queensland,Springdale (Qld),-28.79177753,151.6070377
Queensland,St Lucia,-27.49914011,153.0033283
Queensland,Stafford Heights,-27.39704825,153.0084787
Queensland,Stoters Hill,-17.53670339,145.972226
Queensland,Taldora,-19.84888483,141.3924043
